c,time,size,lat,long,alt,color
001.JPG,2015:03:31 09:44:49,2448x3264,37.873914,-122.258536,103,black
002.JPG,2015:03:31 11:52:28,2448x3264,37.874747,-122.258889,107,#012E97
003.JPG,2015:03:31 14:52:45,2448x3264,37.873225,-122.260522,85,#003DCA
004.JPG,2015:03:31 14:53:40,2448x3264,37.872806,-122.260864,81,#1B60FF
005.JPG,2015:03:31 14:54:03,2448x3264,37.872847,-122.261214,80,#4A80FC
006.JPG,2015:03:31 14:54:48,2448x3264,37.872397,-122.261794,77,#004C00
007.JPG,2015:03:31 14:55:01,2448x3264,37.872397,-122.261794,77,#007500
008.JPG,2015:03:31 14:57:40,2448x3264,37.871811,-122.263703,71,#00BC00
009.JPG,2015:03:07 00:42:20,2448x3264,37.880314,-122.247467,335,#00E200
010.JPG,2015:03:31 14:58:21,2448x3264,37.871269,-122.263625,67,#6B6800
011.JPG,2015:03:31 15:00:45,2448x3264,37.870567,-122.265464,65,#9D9900
012.JPG,2015:03:31 15:32:06,2448x3264,37.87095,-122.262444,73,#F7F100
013.JPG,2015:03:31 21:36:37,2448x3264,37.873919,-122.258942,98,#FFF800
014.JPG,2015:03:31 21:36:45,2448x3264,37.873919,-122.258942,98,#6A3D00
015.JPG,2015:03:31 21:36:56,2448x3264,37.873858,-122.258903,97,#9C5900
016.JPG,2015:03:31 21:38:19,2448x3264,37.872903,-122.25875,94,#F68D00
017.JPG,2015:03:31 21:38:59,2448x3264,37.872525,-122.258514,98,#FF9200
018.JPG,2015:03:31 21:40:37,2448x3264,37.871619,-122.258178,94,#9C2300
